,SDURAKKODU,SDURAKADI,KOORDINAT,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM
5201,181761,TEKNOLOJİ LİSESİ,POINT (28.6078149999795 41.189836999109),Arnavutköy,HADIMKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5202,286182,AYDOS KAVŞAĞI,POINT (29.2726160000092 40.9194239991181),Pendik,YENISEHIR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5203,181861,YENİCE SOKAK,POINT (28.7772689417182 41.0702165507213),Basaksehir,ZIYA GÖKALP METRO,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5204,285711,SOFULAR KÖYÜ YOLU,POINT (29.4909610000068 41.175696999113),Sile,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5205,286392,LUNAPARK,POINT (29.1198281354619 40.8579919192774),ADALAR,VIRANBAGI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5206,182462,ŞEHİT AHMET KOCABAY ANADOLU İMAM HATİP LİSESİ,POINT (28.6389676521734 41.026657223589),Esenyurt,KIRAÇ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5207,100582,TURGUT ÖZAL CADDESİ,POINT (28.6380198414299 40.9750232404342),Beylikdüzü,KAVAKLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5208,183862,ÇİTLEMBİK SOKAK,POINT (28.6379725089173 41.2233979132673),Arnavutköy,DURSUNBEY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5209,103253,BAHÇETEPE,POINT (28.7742013798665 41.0954915603368),Basaksehir,OLIMPIYATKÖY METRO,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5210,287851,TRİBÜN 3- AÇIK ALAN 2 (3-4 NOLU GİRİŞ),POINT (29.4199600000076 40.9594659991174),Tuzla,KUZEYBATI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5211,287861,TRİBÜN 4- AÇIK ALAN 3 (1 NOLU GİRİŞ),POINT (29.4179720000077 40.9640609991173),Tuzla,KUZEYBATI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5212,286511,İSMET İNÖNÜ MÜZESİ,POINT (29.0929320000111 40.8784019991194),ADALAR,ÇAM LIMANI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5213,287951,NARİN SOKAK,POINT (29.1690410000101 41.0866569991144),Beykoz,BEYKOZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5214,285171,HAREM SONDURAK,POINT (29.0118970823841 41.0075572489528),Üsküdar,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5215,284881,ELMAKSAN SOKAK,POINT (29.1995000000098 40.9744999991168),Sancaktepe,GIDIS,YOK,AÇIK,İETTBAYRAK,Uygun Degil
